('421', '3')
('201', '6')
('511', '73')
('45', '73')
('195', '75')
('176', '75')
('412', '92')
('244', '92')
('149', '108')
('494', '110')
('105', '110')
('294', '116')
('261', '122')
('116', '122')
('388', '144')
('373', '154')
('275', '154')
('221', '155')
('100', '155')
('4', '155')
('469', '155')
('224', '155')
('233', '155')
('51', '159')
('147', '159')
('205', '159')
('212', '167')
('210', '167')
('384', '167')
('174', '170')
('285', '176')
('312', '176')
('462', '178')
('322', '187')
('57', '198')
('490', '200')
('425', '202')
('397', '202')
('427', '209')
('430', '215')
('236', '228')
('542', '231')
('482', '258')
('280', '284')
('420', '296')
('539', '310')
('216', '316')
('336', '316')
('485', '316')
('431', '316')
('71', '333')
('362', '342')
('93', '400')
('286', '410')
('381', '410')
('74', '410')
('372', '428')
('447', '428')
('15', '428')
('481', '428')
('108', '459')
('456', '459')
('443', '475')
('50', '477')
('533', '477')
('496', '477')
('150', '477')
('144', '477')
('433', '523')
('68', '523')
('161', '544')
('287', '544')
('450', '565')
('63', '569')
('139', '589')
('279', '589')
('367', '600')
('230', '600')
('131', '621')
('315', '621')
('2', '621')
('16', '621')
('42', '627')
('200', '627')
('426', '631')
('547', '631')
('470', '631')
('441', '636')
('158', '636')
('52', '642')
('451', '642')
('190', '642')
('211', '662')
('115', '662')
('124', '683')
('129', '683')
('111', '683')
('393', '683')
('361', '683')
('46', '683')
('565', '683')
('429', '686')
('171', '686')
('389', '696')
('130', '730')
('263', '730')
('291', '730')
('278', '730')
('459', '730')
('9', '730')
('335', '730')
('235', '732')
('214', '755')
('132', '755')
('266', '755')
('440', '755')
('305', '755')
('574', '755')
('313', '755')
('13', '755')
('299', '771')
('119', '771')
('27', '772')
('377', '772')
('311', '772')
('399', '772')
('85', '772')
('62', '772')
('460', '772')
('449', '775')
('492', '811')
('545', '811')
('525', '811')
('423', '811')
('36', '811')
('148', '811')
('98', '902')
('227', '966')
('404', '1019')
('41', '1056')
('23', '1116')
('209', '1116')
('405', '1165')
('382', '1234')
('65', '1234')
('1', '1251')
('274', '1258')
('532', '1271')
('356', '1271')
('72', '1317')
('445', '1366')
('333', '1366')
('168', '1366')
('137', '1460')
('256', '1460')
('153', '1460')
('146', '1494')
('5', '1510')
('464', '1510')
('488', '1543')
('117', '1563')
('369', '1563')
('267', '1563')
('346', '1593')
('360', '1593')
('458', '1593')
('231', '1593')
('535', '1777')
('169', '1777')
('107', '1851')
('207', '1851')
('152', '1885')
('162', '1938')
('507', '2079')
('95', '2079')
('486', '2079')
('262', '2184')
('475', '2190')
('276', '2265')
('22', '2315')
('579', '2480')
('140', '2532')
('302', '2957')
('330', '2957')
('569', '2957')
('175', '2960')
('112', '3020')
('199', '3087')
('383', '3087')
('241', '3087')
('438', '3087')
('568', '3087')
('560', '3087')
('289', '3102')
('196', '3102')
('355', '3102')
('350', '3102')
('573', '3556')
('416', '3715')
('67', '3715')
('134', '3775')
('246', '4639')
('24', '4809')
('409', '4809')
('316', '4809')
('284', '4809')
('531', '4895')
('142', '4949')
('123', '5141')
('271', '5141')
('376', '5207')
('3', '5210')
('303', '5210')
('467', '5210')
('370', '5272')
('97', '5419')
('341', '5492')
('378', '5492')
('332', '5492')
('352', '5492')
('516', '5743')
('483', '5743')
('38', '5795')
('326', '6005')
('25', '6490')
('273', '6490')
('437', '6490')
('513', '6490')
('127', '6790')
('349', '6860')
('268', '6860')
('463', '6860')
('220', '7476')
('145', '7631')
('371', '7940')
('512', '7940')
('473', '7940')
('208', '7940')
('251', '8084')
('8', '8845')
('110', '9048')
('581', '9048')
('138', '9534')
('54', '9534')
('259', '9534')
('578', '9534')
('340', '10169')
('317', '10169')
('554', '10169')
('557', '10169')
('179', '10638')
