('216', '1')
('214', '1')
('525', '1')
('132', '1')
('131', '1')
('130', '1')
('494', '1')
('139', '1')
('490', '1')
('492', '1')
('545', '1')
('285', '1')
('286', '1')
('263', '1')
('261', '1')
('124', '1')
('266', '1')
('129', '1')
('574', '1')
('57', '1')
('51', '1')
('50', '1')
('52', '1')
('63', '1')
('533', '1')
('299', '1')
('294', '1')
('377', '1')
('291', '1')
('201', '1')
('456', '1')
('200', '1')
('195', '1')
('312', '1')
('311', '1')
('315', '1')
('111', '1')
('278', '1')
('205', '1')
('399', '1')
('119', '1')
('496', '1')
('85', '1')
('174', '1')
('429', '1')
('27', '1')
('421', '1')
('367', '1')
('423', '1')
('362', '1')
('441', '1')
('426', '1')
('440', '1')
('412', '1')
('305', '1')
('381', '1')
('388', '1')
('389', '1')
('100', '1')
('105', '1')
('244', '1')
('469', '1')
('420', '1')
('108', '1')
('511', '1')
('433', '1')
('430', '1')
('459', '1')
('451', '1')
('336', '1')
('62', '1')
('68', '1')
('176', '1')
('171', '1')
('542', '1')
('313', '1')
('2', '1')
('158', '1')
('4', '1')
('425', '1')
('221', '1')
('460', '1')
('190', '1')
('224', '1')
('161', '1')
('393', '1')
('13', '1')
('373', '1')
('16', '1')
('116', '1')
('287', '1')
('397', '1')
('275', '1')
('150', '1')
('361', '1')
('36', '1')
('322', '1')
('565', '1')
('279', '1')
('236', '1')
('230', '1')
('233', '1')
('46', '1')
('45', '1')
('42', '1')
('470', '1')
('427', '1')
('9', '1')
('335', '1')
('147', '1')
('144', '1')
('148', '1')
('149', '1')
('74', '1')
('485', '1')
('462', '1')
('482', '1')
('547', '1')
('212', '2')
('210', '2')
('211', '2')
('137', '2')
('450', '2')
('115', '2')
('449', '2')
('445', '2')
('274', '2')
('539', '2')
('384', '2')
('333', '2')
('256', '2')
('405', '2')
('464', '2')
('168', '2')
('227', '2')
('93', '2')
('153', '2')
('280', '2')
('5', '2')
('146', '2')
('72', '2')
('71', '2')
('488', '2')
('22', '3')
('372', '3')
('276', '3')
('535', '3')
('447', '3')
('382', '3')
('65', '3')
('431', '3')
('162', '3')
('98', '3')
('169', '3')
('15', '3')
('152', '3')
('1', '3')
('481', '3')
('475', '3')
('23', '4')
('112', '4')
('207', '4')
('443', '4')
('241', '4')
('107', '4')
('568', '4')
('560', '4')
('235', '4')
('41', '4')
('140', '4')
('209', '4')
('134', '5')
('289', '5')
('346', '5')
('404', '5')
('532', '5')
('196', '5')
('360', '5')
('458', '5')
('507', '5')
('95', '5')
('231', '5')
('356', '5')
('350', '5')
('486', '5')
('355', '5')
('117', '6')
('369', '6')
('267', '6')
('262', '7')
('123', '7')
('370', '7')
('199', '7')
('271', '7')
('383', '7')
('438', '7')
('175', '7')
('416', '8')
('38', '8')
('516', '8')
('579', '8')
('67', '8')
('483', '8')
('302', '9')
('330', '9')
('569', '9')
('573', '10')
('24', '11')
('409', '11')
('316', '11')
('284', '11')
('142', '11')
('341', '12')
('378', '12')
('531', '12')
('246', '12')
('332', '12')
('352', '12')
('376', '12')
('127', '13')
('3', '13')
('303', '13')
('467', '13')
('8', '13')
('25', '14')
('326', '14')
('273', '14')
('437', '14')
('513', '14')
('97', '14')
('220', '14')
('145', '15')
('340', '17')
('371', '17')
('317', '17')
('512', '17')
('554', '17')
('557', '17')
('208', '17')
('473', '17')
('268', '19')
('349', '19')
('251', '19')
('463', '19')
('179', '20')
('138', '22')
('54', '22')
('110', '22')
('581', '22')
('578', '22')
('259', '22')
